date,tier,cumulative_return
2013-07-30,Moderate,0.23883224151807902
2013-07-31,Moderate,0.23716902405813545
2013-08-01,Moderate,0.24856593179747954
2013-08-02,Moderate,0.246841897052416
2013-08-05,Moderate,0.24966476989217434
2013-08-06,Moderate,0.24661252739713246
2013-08-07,Moderate,0.24085906187333683
2013-08-08,Moderate,0.24276783200505503
2013-08-09,Moderate,0.23844482389699917
2013-08-12,Moderate,0.23194013800609325
2013-08-13,Moderate,0.23872786310978844
2013-08-14,Moderate,0.22521761289220477
2013-08-15,Moderate,0.20579317108393447
2013-08-16,Moderate,0.2043669150364642
2013-08-19,Moderate,0.20798891386048712
2013-08-20,Moderate,0.2119916569664697
2013-08-21,Moderate,0.20333200726286682
2013-08-22,Moderate,0.21414880032716188
2013-08-23,Moderate,0.22157232657054338
2013-08-26,Moderate,0.2194787961459923
2013-08-27,Moderate,0.20125893379658377
2013-08-28,Moderate,0.20322695107558264
2013-08-29,Moderate,0.21432847462691784
2013-08-30,Moderate,0.20635132289721425
2013-09-03,Moderate,0.2156967832561998
2013-09-04,Moderate,0.22887031583801054
2013-09-05,Moderate,0.2323063409064683
2013-09-06,Moderate,0.23287274531808855
2013-09-09,Moderate,0.24218522331854309
2013-09-10,Moderate,0.25181465611697806
2013-09-11,Moderate,0.2597578756468273
2013-09-12,Moderate,0.2563265024661472
2013-09-13,Moderate,0.26082974482185106
2013-09-16,Moderate,0.27730081225774983
2013-09-17,Moderate,0.2829994248474508
2013-09-18,Moderate,0.3048052802472825
2013-09-19,Moderate,0.2922983928621301
2013-09-20,Moderate,0.28504693433389994
2013-09-23,Moderate,0.28948953797903143
2013-09-24,Moderate,0.29488286842939426
2013-09-25,Moderate,0.2920601795147524
2013-09-26,Moderate,0.30012644521987375
2013-09-27,Moderate,0.2954858652669501
2013-09-30,Moderate,0.28636101822962856
2013-10-01,Moderate,0.29802170775119596
2013-10-02,Moderate,0.29389820429698155
2013-10-03,Moderate,0.28071290685431793
2013-10-04,Moderate,0.2933785147640773
